название,адрес,телефон,instagram,vk
Кафе-позная,"Родниковая улица, 12",+79027692346,,
"Приангарье, кафе","2-я Батарейная улица, 1в",,,
"4 Сезона, кафе","Земляничная улица, 19",+79016710999,,
Кафе,"Трактовая улица, 20а",,,
Кафе-позная,"Луговая улица, 2/4",+79148804505,,
"Лаура, кафе","Байкальский тракт 29 километр, 2",+79148812747,,
"Девяточка, кафе","252-й квартал, 15",+79016580138,,
"Мерани, кафе","Гравийная улица, 64",+79526245747,,
"Купеческий двор, кафе","Московский тракт, 1",+79025157555,,
Буузы и бургеры,"Объездная улица, 1",+79247074073,,
"Южанка, кафе","микрорайон Красный ключ, 91л ст3",+79041408436,,https://vk.com/gorasobolinaya
"Хочу суши, кафе","1-й квартал, 1а/1",+79501171871,,
"Золотая юрта, кафе-столовая","Байкальский тракт, 115 вл7",+79500999755,,https://vk.com/id732205295
Кафе,"Карьерная улица, 41а",,,
"Оранжерея, кафе","Центральная улица, 5",+73952611790,,
"Опилка, кафе","Голоустненский тракт 18 километр, 2а/3",+73952604623,,
"BarBQ, пивной бар","251-й квартал, 9",+79087722477,,
"Додо Пицца, сеть пиццерий",,,,https://vk.com/dodoirk
"Пицца hot, сеть пиццерий","Дальневосточная улица, 106",+73952939343,,https://vk.com/pizzahot_irk
"Пицца hot, сеть пиццерий","улица Ржанова, 164Б/1",+73952939343,,https://vk.com/pizzahot_irk
"Пицца hot, сеть пиццерий","Академическая улица, 26",+73952939343,,https://vk.com/pizzahot_irk
"Пицца hot, сеть пиццерий","проезд Юрия Тена, 26/2",+73952939343,,https://vk.com/pizzahot_irk
"Пицца hot, сеть пиццерий","Депутатская улица, 63/1",+73952939343,,https://vk.com/pizzahot_irk
"Пицца hot, сеть пиццерий","улица Франк-Каменецкого, 13/1",+73952939343,,https://vk.com/pizzahot_irk
"Пицца hot, сеть пиццерий","2-я Железнодорожная улица, 70",+73952939343,,https://vk.com/pizzahot_irk
